trader_id,age_group,experience_level,starting_capital,ending_balance,monthly_return_pct,max_drawdown_pct,position_size_pct,win_ratio,risk_reward_ratio,trades_per_week,avg_holding_period_days,overnight_positions_pct,platform_usage_hours,preferred_trading_type,preferred_instruments,trade_decision_factor,stop_loss_usage_pct,is_profitable,risk_score
TR00171,56+,Beginner,23116,21454,-7.75,17.01,22.4,0.32,1.05,22,0.97,55.64,5.03,Swing,F&O,Fundamental Analysis,34.17,0,3
TR00172,36-45,Intermediate,206542,208489,0.9,6.25,12.95,0.42,1.66,18,6.95,33.15,5.61,Intraday,F&O,News Events,45.92,1,2
TR00173,26-35,Advanced,1421992,1480323,3.75,0.86,7.55,0.63,2.39,10,14.74,39.89,2.81,Swing,Currency,Mixed,88.21,1,1
TR00174,46-55,Beginner,52918,44943,-13.74,36.32,41.99,0.23,1.13,15,10.35,41.46,5.88,Swing,F&O,Mixed,27.76,0,5
TR00175,46-55,Intermediate,364368,366934,0.71,8.72,11.99,0.45,1.5,16,3.2,36.41,4.24,Intraday,Mixed,Technical Analysis,36.64,1,3
TR00176,26-35,Intermediate,89298,90420,1.17,10.17,14.36,0.47,1.36,16,8.48,40.12,3.48,Mixed,F&O,Technical Analysis,30.99,1,3
TR00177,18-25,Intermediate,392363,380228,-2.95,9.78,17.5,0.36,1.21,16,8.78,41.03,5.14,Swing,Equity,Technical Analysis,44.51,0,3
TR00178,26-35,Advanced,1310205,1352518,3.23,1.32,6.91,0.52,2.91,13,12.22,16.12,1.76,Positional,Equity,Technical Analysis,79.13,1,1
TR00179,26-35,Beginner,76040,54788,-27.55,28.36,43.46,0.35,0.56,29,0.2,62.7,7.69,Swing,F&O,Tips/Recommendations,35.19,0,5
TR00180,26-35,Beginner,38016,36482,-4.35,32.89,33.5,0.36,1.15,20,22.01,70.92,7.47,Intraday,F&O,Tips/Recommendations,13.82,0,5
TR00181,36-45,Intermediate,73960,74750,0.98,4.44,10.88,0.41,1.79,14,9.47,21.5,3.35,Mixed,F&O,Mixed,62.01,1,2
TR00182,36-45,Beginner,43591,39164,-10.46,22.65,38.56,0.36,0.59,16,0.84,75.58,6.65,Intraday,F&O,Mixed,35.89,0,4
TR00183,56+,Beginner,92848,89865,-3.25,23.41,31.11,0.39,0.9,10,0.62,31.48,5.87,Intraday,F&O,Fundamental Analysis,14.52,0,5
TR00184,18-25,Beginner,77641,74886,-3.43,18.32,31.38,0.37,1.11,10,22.1,47.8,4.69,Intraday,Equity,Technical Analysis,35.55,0,4
TR00185,26-35,Beginner,46395,35693,-23.86,15.29,29.24,0.22,0.9,29,0.39,30.79,7.94,Positional,Equity,Fundamental Analysis,39.74,0,3
TR00186,26-35,Beginner,32700,30238,-7.92,17.08,29.88,0.35,1.14,22,25.05,33.86,3.13,Intraday,Equity,News Events,31.81,0,4
TR00187,46-55,Intermediate,346764,353697,1.95,7.59,20.31,0.41,1.93,13,1.81,47.34,3.01,Intraday,Equity,Tips/Recommendations,61.39,1,2
TR00188,26-35,Beginner,30559,29891,-2.42,7.18,14.12,0.4,0.8,12,12.18,47.74,5.6,Intraday,Equity,Fundamental Analysis,39.83,0,3
TR00189,26-35,Beginner,71642,67602,-5.4,14.59,23.37,0.3,0.76,16,25.3,51.24,5.61,Swing,F&O,Fundamental Analysis,28.16,0,4
TR00190,26-35,Intermediate,257611,258384,0.3,3.83,6.51,0.37,1.92,10,9.33,26.46,4.36,Intraday,Currency,Tips/Recommendations,42.32,1,2
TR00191,26-35,Intermediate,333876,342479,2.52,6.34,20.06,0.5,1.61,12,4.94,37.91,5.01,Swing,F&O,Fundamental Analysis,63.5,1,2
TR00192,26-35,Beginner,40354,37701,-6.41,12.34,20.89,0.26,0.58,18,0.91,59.74,6.12,Positional,Equity,Technical Analysis,28.43,0,3
TR00193,26-35,Intermediate,325987,326991,0.31,9.95,22.95,0.55,0.85,18,3.85,31.17,4.4,Intraday,Mixed,News Events,53.25,1,3
TR00194,56+,Advanced,1227512,1253329,2.07,2.44,8.85,0.65,2.35,6,13.43,19.99,1.16,Intraday,Mixed,Tips/Recommendations,68.88,1,1
TR00195,26-35,Intermediate,164065,166505,1.43,8.4,21.01,0.48,1.92,5,4.38,46.55,3.51,Intraday,F&O,Technical Analysis,60.25,1,2
TR00196,46-55,Intermediate,383870,385283,0.35,13.79,24.58,0.38,1.81,7,3.67,31.5,2.93,Swing,Equity,Technical Analysis,33.27,1,3
TR00197,36-45,Intermediate,67640,69377,2.46,7.92,21.8,0.49,1.61,14,6.84,34.81,3.06,Positional,Equity,Technical Analysis,66.97,1,2
TR00198,18-25,Advanced,252528,256592,1.5,4.41,13.27,0.47,1.71,13,6.94,18.5,2.66,Swing,Equity,Technical Analysis,71.4,1,2
TR00199,56+,Beginner,48413,43133,-11.63,24.89,26.32,0.21,0.68,24,22.2,69.34,4.0,Mixed,F&O,Tips/Recommendations,13.83,0,4
TR00200,46-55,Beginner,62638,59489,-5.13,24.93,32.07,0.36,1.11,18,17.61,49.87,4.47,Swing,Currency,News Events,23.27,0,4
TR00201,56+,Intermediate,495952,493225,-0.5,7.88,10.08,0.39,1.02,8,5.94,35.41,2.95,Intraday,Mixed,Tips/Recommendations,31.7,0,3
TR00202,56+,Advanced,701108,702589,0.22,0.79,4.55,0.53,1.92,2,10.16,17.6,3.85,Intraday,F&O,Fundamental Analysis,83.96,1,1
TR00203,46-55,Intermediate,160133,161016,0.6,4.12,15.11,0.54,0.96,18,5.91,49.63,5.78,Positional,Mixed,News Events,66.11,1,2
TR00204,26-35,Beginner,78866,62198,-21.03,21.0,33.8,0.27,0.97,26,10.29,44.57,6.05,Mixed,F&O,News Events,35.12,0,4
TR00205,26-35,Beginner,29087,25145,-14.7,23.16,23.57,0.26,1.16,29,0.63,68.54,7.62,Intraday,Mixed,Technical Analysis,13.82,0,4
TR00206,26-35,Beginner,51430,47330,-8.47,26.52,32.78,0.38,0.69,21,0.68,51.37,6.93,Intraday,F&O,News Events,13.79,0,5
TR00207,26-35,Intermediate,205576,200472,-2.26,6.94,22.75,0.37,1.37,18,5.5,26.19,4.36,Positional,Equity,Mixed,62.54,0,2
TR00208,18-25,Intermediate,450330,461208,2.4,5.85,16.13,0.5,1.56,11,5.88,43.99,2.03,Mixed,Mixed,News Events,66.97,1,2
TR00209,26-35,Beginner,88859,86505,-2.77,33.16,38.83,0.4,1.2,11,0.96,46.68,6.86,Intraday,Mixed,Tips/Recommendations,23.82,0,5
TR00210,56+,Beginner,20975,18989,-8.62,27.37,42.21,0.38,0.57,12,26.28,73.26,6.51,Intraday,Equity,Tips/Recommendations,24.97,0,5
TR00211,26-35,Intermediate,61023,61399,0.56,14.4,24.77,0.48,1.4,5,1.98,47.46,4.46,Intraday,Mixed,Fundamental Analysis,42.73,1,3
TR00212,46-55,Intermediate,71447,71135,-0.44,5.12,17.06,0.41,1.26,9,2.34,45.79,5.04,Positional,Equity,Technical Analysis,65.77,0,2
TR00213,26-35,Advanced,588043,593471,0.97,2.37,12.49,0.5,2.8,2,9.32,11.05,2.54,Swing,Mixed,Fundamental Analysis,82.57,1,1
TR00214,26-35,Beginner,33959,27363,-18.19,35.85,48.51,0.36,0.83,26,0.32,69.37,6.52,Intraday,F&O,Tips/Recommendations,18.65,0,5
TR00215,56+,Beginner,76203,61993,-17.88,35.87,47.78,0.38,0.58,26,0.45,50.57,7.68,Swing,Equity,Tips/Recommendations,18.96,0,5
TR00216,56+,Beginner,39703,38301,-3.4,11.26,15.64,0.31,0.94,11,24.31,73.69,4.88,Intraday,Mixed,Technical Analysis,36.74,0,3
TR00217,36-45,Beginner,19337,17823,-7.26,23.3,26.26,0.25,1.04,11,26.45,61.9,6.54,Mixed,Commodities,Mixed,10.41,0,4
TR00218,36-45,Beginner,56427,52264,-7.11,19.69,22.96,0.22,0.5,14,0.49,71.68,5.38,Intraday,Currency,Technical Analysis,19.68,0,4
TR00219,26-35,Beginner,71529,70020,-2.2,9.5,13.48,0.22,1.1,10,29.09,54.97,6.37,Swing,Mixed,Technical Analysis,26.63,0,3
TR00220,26-35,Beginner,94665,89677,-5.07,27.78,35.33,0.34,0.63,10,0.69,56.75,6.81,Intraday,F&O,Mixed,14.45,0,5
TR00221,56+,Beginner,41921,32071,-24.45,36.13,39.44,0.28,0.89,28,19.58,37.22,3.23,Positional,Currency,Technical Analysis,12.76,0,5
TR00222,36-45,Advanced,1544027,1571297,1.68,1.29,13.03,0.63,2.12,3,5.33,33.52,2.94,Intraday,F&O,Mixed,88.53,1,1
TR00223,36-45,Intermediate,470571,475135,0.95,2.42,7.46,0.5,1.66,9,2.5,32.58,2.91,Intraday,F&O,Technical Analysis,65.78,1,1
TR00224,36-45,Intermediate,177016,174197,-1.74,7.38,22.53,0.39,1.25,16,6.56,35.0,4.68,Intraday,Equity,Tips/Recommendations,62.94,0,2
TR00225,18-25,Advanced,991267,1047168,5.62,0.95,10.36,0.57,2.8,11,9.28,33.55,2.4,Mixed,F&O,Technical Analysis,91.46,1,1
TR00226,36-45,Advanced,1793023,1837705,2.57,2.71,11.15,0.54,2.6,7,11.04,27.97,3.32,Intraday,Equity,Tips/Recommendations,79.36,1,1
TR00227,36-45,Intermediate,228677,233117,2.01,10.43,23.21,0.47,1.58,11,9.37,26.03,2.49,Intraday,Equity,Tips/Recommendations,62.49,1,2
TR00228,46-55,Beginner,48088,45098,-6.09,26.91,34.99,0.35,1.06,13,0.58,59.51,6.13,Swing,Mixed,Mixed,21.52,0,5
TR00229,26-35,Beginner,88752,83220,-6.46,14.78,23.43,0.36,1.03,20,24.35,50.38,4.39,Intraday,Currency,Tips/Recommendations,29.99,0,3
TR00230,56+,Intermediate,367428,365216,-0.57,6.4,21.5,0.52,0.84,12,4.6,34.09,5.41,Positional,Equity,Fundamental Analysis,69.55,0,2
TR00231,18-25,Beginner,67043,56120,-17.82,23.24,24.52,0.25,0.78,26,0.98,31.42,7.64,Intraday,F&O,Tips/Recommendations,16.77,0,4
TR00232,26-35,Intermediate,216619,216974,0.16,2.73,5.68,0.36,1.92,19,5.7,26.3,5.99,Intraday,F&O,Tips/Recommendations,45.6,1,2
TR00233,36-45,Advanced,282844,289259,2.14,3.51,12.8,0.6,1.69,7,4.48,18.43,3.39,Intraday,Mixed,Tips/Recommendations,76.8,1,1
TR00234,36-45,Beginner,37532,34311,-8.3,19.15,23.81,0.22,1.02,14,0.87,65.65,6.77,Intraday,Mixed,Tips/Recommendations,14.14,0,4
TR00235,26-35,Intermediate,215421,219423,1.86,16.33,20.48,0.41,1.97,8,2.66,20.34,2.86,Mixed,Equity,News Events,33.24,1,3
TR00236,18-25,Intermediate,172402,170897,-0.8,5.12,12.26,0.35,0.86,6,3.66,32.26,3.34,Intraday,Equity,News Events,63.19,0,2
TR00237,46-55,Beginner,55445,51250,-7.88,30.3,44.44,0.34,0.98,15,13.7,76.2,5.33,Intraday,F&O,News Events,39.3,0,5
TR00238,26-35,Beginner,15713,14754,-6.75,13.56,18.78,0.23,0.83,20,18.49,35.59,6.87,Intraday,F&O,Technical Analysis,22.14,0,3
TR00239,36-45,Beginner,66178,53580,-19.3,34.39,48.98,0.33,0.91,25,26.31,55.82,7.57,Intraday,F&O,Mixed,12.63,0,6
TR00240,36-45,Beginner,59407,51983,-13.79,34.55,41.19,0.4,0.56,25,20.53,69.33,3.95,Intraday,Mixed,Technical Analysis,11.97,0,5
TR00241,26-35,Intermediate,100990,100523,-0.42,2.3,7.28,0.36,0.85,5,2.01,48.28,5.69,Intraday,Equity,News Events,65.65,0,1
TR00242,36-45,Intermediate,179473,178942,-0.31,6.84,16.32,0.37,1.6,13,1.02,42.4,4.78,Positional,Equity,Mixed,48.55,0,2
TR00243,36-45,Beginner,75545,65987,-11.96,39.81,49.41,0.27,1.08,15,0.67,66.03,6.05,Intraday,F&O,News Events,19.6,0,6
TR00244,56+,Intermediate,370285,390477,5.17,7.06,14.42,0.52,1.74,17,6.34,44.79,2.8,Intraday,F&O,Mixed,49.06,1,2
TR00245,26-35,Beginner,33793,32587,-3.78,14.65,17.28,0.24,0.88,12,0.81,52.31,3.28,Intraday,Currency,Tips/Recommendations,19.55,0,4
TR00246,36-45,Advanced,1567290,1578706,0.71,1.99,8.3,0.52,1.65,5,5.1,34.18,2.71,Positional,Currency,Technical Analysis,77.12,1,1
TR00247,26-35,Intermediate,276156,274966,-0.47,4.61,15.25,0.36,1.63,16,4.25,20.24,4.61,Mixed,Equity,Tips/Recommendations,64.38,0,2
TR00248,26-35,Intermediate,218964,220566,0.73,10.94,19.83,0.5,1.09,15,9.15,47.74,2.84,Swing,Mixed,Fundamental Analysis,53.69,1,3
TR00249,36-45,Beginner,11015,10406,-6.12,22.96,37.95,0.28,1.14,13,0.79,52.17,5.78,Intraday,Equity,Technical Analysis,30.84,0,4
TR00250,26-35,Beginner,71813,64030,-10.0,20.18,26.1,0.35,1.09,28,16.04,57.67,7.28,Swing,Mixed,Technical Analysis,20.94,0,4
TR00251,26-35,Beginner,37712,36778,-2.26,12.64,18.72,0.38,1.0,12,0.76,42.74,7.18,Positional,F&O,Tips/Recommendations,32.16,0,3
TR00252,46-55,Advanced,1873361,1909523,2.04,1.95,10.39,0.5,2.92,4,11.06,32.28,3.78,Intraday,F&O,Tips/Recommendations,83.33,1,1
TR00253,18-25,Beginner,18415,15384,-17.48,19.5,26.87,0.36,0.52,29,0.83,33.83,4.83,Swing,Currency,Technical Analysis,13.59,0,4
TR00254,26-35,Beginner,72292,68744,-4.67,10.82,15.29,0.21,1.02,16,0.23,73.63,4.59,Intraday,Commodities,Technical Analysis,27.18,0,3
TR00255,56+,Advanced,485977,494214,1.78,4.47,13.71,0.63,2.0,5,4.84,34.84,3.25,Swing,Equity,Technical Analysis,68.99,1,2
TR00256,56+,Intermediate,185230,191680,3.23,6.31,18.82,0.48,1.89,13,3.12,26.48,3.72,Positional,Mixed,Technical Analysis,62.16,1,2
TR00257,18-25,Beginner,72680,68563,-5.58,30.29,37.33,0.37,0.69,10,0.88,70.47,3.44,Intraday,Mixed,Tips/Recommendations,22.78,0,5
TR00258,26-35,Beginner,30309,26187,-14.02,30.18,42.9,0.2,1.01,17,0.58,69.32,4.41,Intraday,F&O,Fundamental Analysis,39.84,0,4
TR00259,26-35,Beginner,16970,15508,-8.08,32.62,31.19,0.23,1.11,16,14.6,61.61,5.09,Positional,F&O,Technical Analysis,12.78,0,5
TR00260,56+,Beginner,82474,61174,-25.86,23.06,42.6,0.28,0.53,27,22.76,48.68,4.46,Swing,Equity,Tips/Recommendations,33.41,0,4
TR00261,46-55,Intermediate,358684,358079,-0.16,5.76,14.96,0.43,1.28,12,3.31,28.14,3.33,Intraday,F&O,Tips/Recommendations,56.95,0,2
TR00262,46-55,Intermediate,201456,201613,0.07,2.3,6.34,0.4,1.71,5,6.69,26.95,3.18,Intraday,F&O,Fundamental Analysis,60.7,1,2
TR00263,26-35,Intermediate,330161,330164,0.0,7.26,13.1,0.43,1.35,15,1.53,29.56,2.17,Intraday,Currency,Technical Analysis,42.3,1,2
TR00264,26-35,Beginner,85880,74473,-14.75,20.18,29.9,0.23,0.69,27,15.49,75.18,6.19,Swing,Equity,Tips/Recommendations,24.76,0,4
TR00265,46-55,Beginner,18702,15679,-14.74,22.61,38.81,0.28,0.65,19,23.52,33.88,5.99,Intraday,F&O,Tips/Recommendations,33.9,0,4
TR00266,36-45,Advanced,200404,201151,0.34,1.27,3.39,0.61,1.7,4,8.31,34.87,2.96,Mixed,F&O,Fundamental Analysis,68.14,1,1
TR00267,36-45,Beginner,50943,49239,-3.67,15.16,15.6,0.3,1.1,16,0.5,47.44,3.96,Intraday,Equity,Tips/Recommendations,16.78,0,4
TR00268,56+,Intermediate,228998,226656,-0.96,4.03,10.27,0.35,1.49,16,1.14,35.65,3.18,Intraday,F&O,Tips/Recommendations,52.04,0,2
TR00269,36-45,Beginner,39189,34626,-11.74,14.36,20.66,0.28,0.55,25,26.37,69.72,6.1,Intraday,F&O,Mixed,25.71,0,3
TR00270,18-25,Advanced,1523483,1552310,1.99,3.34,11.52,0.46,2.07,11,10.24,36.53,2.8,Intraday,F&O,Fundamental Analysis,69.88,1,1
TR00271,46-55,Intermediate,199456,201757,1.07,5.21,10.01,0.54,1.24,13,4.04,30.34,4.03,Intraday,F&O,Fundamental Analysis,41.92,1,2
TR00272,26-35,Beginner,70100,49763,-30.88,30.33,35.32,0.23,0.63,29,25.45,53.09,4.75,Intraday,F&O,News Events,18.34,0,5
TR00273,36-45,Beginner,19860,16681,-14.69,21.02,29.77,0.34,0.8,26,22.91,50.73,7.56,Intraday,F&O,Mixed,33.15,0,4
TR00274,56+,Intermediate,285365,287902,0.94,8.25,16.47,0.54,1.2,6,6.36,20.4,3.36,Intraday,Equity,Tips/Recommendations,56.08,1,2
TR00275,18-25,Intermediate,392786,395463,0.67,8.76,21.76,0.52,1.21,5,4.61,28.88,3.82,Intraday,Equity,Technical Analysis,63.3,1,2
TR00276,18-25,Beginner,60612,56926,-6.44,16.17,26.18,0.34,1.02,25,0.43,52.96,6.39,Intraday,F&O,Mixed,39.26,0,3
TR00277,18-25,Advanced,1010006,1051487,4.07,2.99,12.02,0.62,1.83,13,10.41,22.33,2.63,Mixed,Equity,Tips/Recommendations,76.6,1,1
TR00278,36-45,Advanced,400244,406962,1.62,2.56,7.49,0.65,2.46,6,8.31,31.66,2.04,Intraday,Equity,Tips/Recommendations,62.33,1,2
TR00279,26-35,Beginner,20916,19633,-6.54,22.19,24.15,0.32,0.9,14,0.85,49.24,5.18,Intraday,Mixed,Mixed,11.44,0,4
TR00280,36-45,Beginner,14809,12492,-15.58,39.05,48.35,0.31,0.9,18,0.16,54.47,6.97,Swing,Equity,Tips/Recommendations,18.87,0,6
TR00281,36-45,Intermediate,213273,215851,1.22,2.42,8.69,0.48,1.6,13,3.44,32.89,3.11,Mixed,F&O,Fundamental Analysis,67.3,1,1
TR00282,26-35,Beginner,63330,61912,-2.45,9.07,13.61,0.31,0.88,12,0.63,67.03,3.71,Intraday,Equity,Mixed,25.7,0,3
TR00283,36-45,Intermediate,194528,199698,2.5,11.07,20.42,0.48,1.86,7,3.08,45.89,3.25,Positional,F&O,Tips/Recommendations,40.87,1,3
TR00284,26-35,Beginner,66397,63403,-4.66,11.62,12.73,0.29,0.97,25,0.51,56.59,7.25,Positional,F&O,Fundamental Analysis,21.98,0,3
TR00285,26-35,Beginner,48765,40601,-16.5,27.95,43.48,0.24,0.88,25,0.15,69.47,3.44,Intraday,F&O,Technical Analysis,27.96,0,5
TR00286,56+,Intermediate,478032,478813,0.16,5.52,13.74,0.37,1.8,7,4.27,28.9,5.97,Swing,F&O,Technical Analysis,56.12,1,2
TR00287,46-55,Advanced,1564652,1591058,1.68,4.56,13.9,0.46,2.41,5,14.95,26.24,2.62,Swing,Equity,News Events,65.39,1,2
TR00288,18-25,Beginner,27100,24918,-8.74,25.13,38.86,0.25,0.7,10,16.67,47.26,7.92,Mixed,F&O,Technical Analysis,39.31,0,4
TR00289,26-35,Intermediate,369235,359580,-2.66,7.03,17.21,0.36,1.05,12,6.22,32.43,5.76,Intraday,Equity,Mixed,51.79,0,2
TR00290,26-35,Beginner,31949,25277,-21.08,48.71,47.97,0.31,0.61,29,29.23,66.62,5.26,Intraday,F&O,Tips/Recommendations,14.07,0,6
TR00291,18-25,Advanced,1449728,1500882,3.37,0.72,7.16,0.51,2.85,12,10.62,36.45,1.6,Intraday,F&O,Mixed,91.28,1,1
TR00292,46-55,Beginner,47744,40762,-13.69,43.57,48.16,0.36,1.0,26,13.41,36.07,3.82,Intraday,F&O,Tips/Recommendations,12.24,0,6
TR00293,36-45,Intermediate,226615,227108,0.22,2.77,7.7,0.36,1.92,12,4.69,39.04,2.96,Positional,Commodities,Technical Analysis,66.31,1,1
TR00294,26-35,Intermediate,420463,420412,-0.01,3.57,14.68,0.4,1.52,8,4.8,37.46,4.84,Mixed,Equity,Tips/Recommendations,69.86,0,2
TR00295,36-45,Beginner,46187,43884,-5.26,13.42,20.8,0.35,0.83,15,10.02,35.92,4.36,Positional,F&O,Tips/Recommendations,31.01,0,3
TR00296,36-45,Intermediate,188311,186477,-1.04,6.92,15.8,0.47,0.87,12,3.71,26.36,3.37,Mixed,F&O,Technical Analysis,60.82,0,2
TR00297,26-35,Beginner,24489,21408,-13.6,10.94,16.48,0.21,0.97,29,19.5,45.55,5.24,Mixed,Equity,Mixed,20.12,0,3
TR00298,18-25,Advanced,708153,726105,2.6,0.83,12.94,0.63,2.37,4,7.59,15.01,3.74,Swing,Equity,Technical Analysis,92.96,1,1
TR00299,18-25,Beginner,68017,63836,-6.5,33.61,43.86,0.38,1.19,25,29.48,42.19,3.95,Positional,Commodities,Fundamental Analysis,25.89,0,5
TR00300,46-55,Intermediate,111877,109167,-2.57,8.86,24.1,0.42,1.09,18,1.18,28.03,2.02,Swing,F&O,Mixed,59.3,0,2
TR00301,56+,Beginner,53125,51468,-3.42,11.83,16.19,0.27,0.87,12,25.37,46.78,3.3,Intraday,F&O,Fundamental Analysis,37.72,0,3
TR00302,36-45,Beginner,59922,56088,-7.08,18.09,34.93,0.4,0.96,27,0.32,67.47,7.52,Intraday,Equity,Mixed,39.26,0,4
TR00303,46-55,Intermediate,144074,146368,1.73,5.94,14.48,0.48,1.57,18,1.84,37.16,4.59,Intraday,Equity,Mixed,63.33,1,2
TR00304,36-45,Advanced,887409,893756,0.77,1.91,6.48,0.56,2.34,3,6.08,39.59,1.82,Positional,Mixed,Mixed,70.61,1,1
TR00305,18-25,Beginner,47131,45753,-2.97,16.15,24.06,0.37,1.04,11,0.81,50.74,3.89,Positional,F&O,Technical Analysis,39.0,0,3
TR00306,18-25,Beginner,52944,49666,-6.18,17.44,26.51,0.26,0.64,12,20.14,67.69,4.47,Intraday,Mixed,Mixed,28.84,0,4
TR00307,26-35,Beginner,83963,69383,-18.71,23.85,38.2,0.29,1.01,25,11.26,73.57,3.57,Intraday,Equity,Mixed,37.92,0,4
TR00308,46-55,Beginner,34285,29026,-15.57,27.03,33.93,0.25,0.93,18,0.21,63.95,7.71,Intraday,Equity,Technical Analysis,30.28,0,4
TR00309,46-55,Intermediate,349770,355184,1.6,8.08,14.19,0.51,1.88,8,4.08,32.36,5.14,Mixed,Currency,Fundamental Analysis,42.29,1,3
TR00310,46-55,Beginner,52808,52069,-1.49,9.71,13.04,0.31,1.09,10,16.93,67.68,5.31,Positional,Currency,Technical Analysis,21.1,0,3
TR00311,46-55,Beginner,98464,95477,-3.37,9.77,13.11,0.33,0.72,13,20.19,40.18,7.32,Intraday,Currency,Tips/Recommendations,26.51,0,3
TR00312,26-35,Beginner,63871,62595,-2.01,7.27,10.09,0.25,0.69,10,15.59,46.38,4.25,Swing,Mixed,Tips/Recommendations,33.7,0,3
TR00313,26-35,Beginner,29198,22398,-22.46,38.31,48.71,0.24,1.19,23,0.95,57.33,6.59,Intraday,F&O,Technical Analysis,19.54,0,6
TR00314,18-25,Intermediate,462974,463510,0.12,2.81,5.11,0.45,1.43,9,2.46,37.26,5.42,Swing,Currency,Tips/Recommendations,53.19,1,2
TR00315,46-55,Intermediate,65254,65833,0.96,3.64,7.06,0.5,1.89,8,8.08,20.66,3.43,Swing,F&O,Tips/Recommendations,43.82,1,2
TR00316,46-55,Beginner,54238,49031,-8.91,14.65,22.58,0.31,0.61,17,0.62,77.26,6.79,Mixed,Equity,Tips/Recommendations,34.47,0,3
TR00317,26-35,Intermediate,51252,50831,-0.86,11.97,21.15,0.36,1.57,11,4.52,40.9,3.18,Intraday,F&O,Fundamental Analysis,48.67,0,3
TR00318,36-45,Beginner,49764,46803,-6.3,45.74,48.48,0.37,1.07,12,17.94,54.79,4.49,Mixed,Equity,Technical Analysis,12.3,0,6
TR00319,26-35,Intermediate,389853,391257,0.34,15.1,20.8,0.36,1.94,5,5.86,47.99,2.43,Intraday,F&O,Technical Analysis,36.64,1,3
TR00320,56+,Intermediate,480657,484980,0.85,15.23,18.81,0.54,1.2,5,6.65,33.17,3.76,Intraday,F&O,Technical Analysis,32.44,1,3
TR00321,46-55,Intermediate,365826,363773,-0.57,7.49,15.43,0.36,1.67,16,7.07,49.41,4.92,Positional,F&O,Technical Analysis,49.97,0,2
TR00322,56+,Beginner,69494,66757,-3.95,9.87,13.47,0.34,0.88,28,0.58,55.61,7.7,Swing,F&O,News Events,13.19,0,3
TR00323,46-55,Intermediate,131317,127481,-3.1,12.84,24.16,0.37,0.87,10,2.27,23.43,4.42,Intraday,Mixed,News Events,34.57,0,3
TR00324,46-55,Intermediate,377359,386187,2.56,7.12,20.17,0.53,1.63,11,2.91,42.94,5.45,Intraday,F&O,Fundamental Analysis,67.64,1,2
TR00325,18-25,Advanced,1851451,1910494,3.14,1.12,10.31,0.54,2.54,7,12.82,30.37,3.47,Swing,Commodities,Technical Analysis,90.54,1,1
TR00326,36-45,Beginner,16949,14312,-16.92,27.4,40.36,0.23,1.15,23,0.39,68.65,3.87,Intraday,Currency,Technical Analysis,23.56,0,5
TR00327,26-35,Beginner,65393,57474,-12.23,20.33,38.96,0.27,0.85,15,0.24,77.57,5.43,Intraday,Currency,Technical Analysis,39.57,0,4
TR00328,56+,Beginner,83553,73256,-11.33,26.35,35.49,0.23,0.66,15,21.46,68.82,3.58,Intraday,F&O,Mixed,10.01,0,5
TR00329,46-55,Intermediate,188013,176453,-5.64,12.63,24.61,0.38,0.85,17,9.39,38.34,4.73,Swing,Equity,Tips/Recommendations,54.56,0,3
TR00330,46-55,Intermediate,75934,77311,1.91,9.67,23.07,0.54,1.3,7,6.18,45.72,5.8,Swing,F&O,Fundamental Analysis,54.66,1,3
TR00331,46-55,Intermediate,466602,464970,-0.34,8.91,17.93,0.44,1.16,10,5.31,40.2,2.55,Intraday,Equity,Technical Analysis,48.3,0,3
TR00332,26-35,Beginner,71886,65792,-8.52,29.49,37.73,0.36,1.03,17,0.38,50.41,6.67,Positional,Mixed,Technical Analysis,21.91,0,5
TR00333,46-55,Beginner,85745,83948,-1.95,10.46,12.06,0.33,0.75,11,0.23,74.28,6.16,Swing,Currency,Tips/Recommendations,23.66,0,3
TR00334,18-25,Beginner,93251,89583,-4.12,30.26,36.8,0.34,1.16,10,16.35,41.1,5.92,Swing,Equity,Technical Analysis,22.45,0,5
TR00335,46-55,Intermediate,406600,408477,0.51,2.51,5.88,0.38,1.95,16,9.58,41.44,3.56,Positional,F&O,Fundamental Analysis,59.22,1,2
TR00336,46-55,Beginner,63413,54507,-15.06,25.08,33.53,0.25,0.93,24,23.33,74.08,4.78,Intraday,F&O,Technical Analysis,14.06,0,5
TR00337,26-35,Intermediate,409383,421467,3.04,15.6,24.99,0.51,1.91,5,2.1,41.94,2.18,Swing,Currency,Fundamental Analysis,37.91,1,3
TR00338,46-55,Beginner,52318,50920,-2.77,29.61,32.23,0.39,1.03,14,20.12,64.86,4.09,Mixed,Equity,Tips/Recommendations,15.42,0,5
TR00339,26-35,Beginner,80173,71020,-10.79,28.26,28.93,0.25,0.88,25,0.31,67.63,3.08,Positional,Equity,Mixed,17.87,0,4
TR00340,26-35,Advanced,270390,271732,0.48,1.15,6.07,0.5,1.77,4,12.32,23.95,2.74,Swing,Equity,Tips/Recommendations,78.38,1,1
TR00341,46-55,Beginner,62329,60745,-2.65,10.32,14.82,0.29,0.82,13,0.21,73.71,3.53,Intraday,F&O,Tips/Recommendations,13.34,0,4
TR00342,26-35,Intermediate,303490,311031,2.51,5.75,19.62,0.55,1.47,7,9.43,26.1,5.49,Intraday,Equity,Technical Analysis,64.73,1,2
TR00343,18-25,Intermediate,93088,93368,0.33,4.89,8.85,0.4,1.84,5,8.88,23.82,4.09,Mixed,F&O,News Events,41.89,1,2
